Date,HStart,HEnd,Matière,Type,Location,Groupe,Enseignant,,,,,,,
2023-11-30:,12:30:00,14:30:00,Com1,TP4,B7,1ATP4,GIRAUD NADINE,,(Updated,09/11/2023 15,38),,,
2024-01-15:,12:30:00,14:30:00,SAE15,TP4,B3,1ATP4,PERRIOT ROMAIN,,(Updated,09/01/2024 16,00),,,
2023-10-25:,06:30:00,07:30:00,Archi-Rés1,Cours,A5-A5bis,1A,FREITAS ANTONIO,,(Updated,10/10/2023 13,23),,,
2024-01-11:,15:00:00,17:00:00,SAE15,TP4,B6,1ATP4,PERRIOT ROMAIN,,(Updated,09/01/2024 16,00),,,
2023-10-27:,11:00:00,13:00:00,Anglais1,TP5,B2,1ATP5,BEIGNON D AGOSTINO LAURE,,(Updated,27/10/2023 10,34),,,
2024-01-25:,09:00:00,11:00:00,Math-Trans1,Examen,Salle examen MPC003,1A,COURSIMAULT DAVID,,(Updated,27/11/2023 15,54),,,
2023-09-22:,08:00:00,10:00:00,Syst1,TDA,B3,1ATDA,JACQUET FREDERIQUE,,(Updated,15/09/2023 17,30),,,
2023-12-08:,15:30:00,17:30:00,Soutien math/info,,"A6,B8",1ATDC,,(Updated,04/12/2023 14,46),,,,
2023-12-12:,14:30:00,16:30:00,Prog1,TP5,B1bis,1ATP5,SIGURET ARNAUD,,(Updated,09/11/2023 16,20),,,
2023-12-19:,07:00:00,09:00:00,SAE14,TP1,B7,1ATP1,GIRAUD NADINE,,(Updated,09/11/2023 17,08),,,
2023-09-12:,13:30:00,15:30:00,Anglais1,TDC,"B2,Labo multimédia A109",1ATDC,BEIGNON D AGOSTINO LAURE,,(Updated,15/09/2023 00,53),,,
2023-10-19:,06:00:00,07:00:00,SAE11,TP3,B7,1ATP3,GIRAUD NADINE,,(Updated,17/10/2023 10,35),,,
2023-11-20:,12:00:00,15:00:00,Archi-Sys1,TP3,C5,1ATP3,PERRIOT ROMAIN,,(Updated,06/11/2023 17,58),,,
2023-12-13:,08:00:00,10:00:00,Gest_projet,TDB,A5bis,1ATDB,MAYET KARINE,,(Updated,08/12/2023 10,51),,,
2024-01-15:,09:00:00,11:00:00,Math-Trans1,TDA,B6,1ATDA,COURSIMAULT DAVID,,(Updated,19/12/2023 12,36),,,
2023-11-14:,07:00:00,08:00:00,SAE14,Cours,A5-A5bis,1A,GIRAUD NADINE,,(Updated,14/11/2023 10,01),,,
2023-10-17:,11:30:00,13:30:00,Syst1,TDC,C5,1ATDC,JACQUET FREDERIQUE,,(Updated,28/09/2023 11,27),,,
2024-01-09:,12:30:00,14:30:00,SAE15,TDC-PT,"C1bis,A5",1ATDC,,(Updated,19/12/2023 15,40),,,,
2023-12-05:,14:30:00,16:30:00,Gest_projet,TDC,A5bis,1ATDC,MAYET KARINE,,(Updated,30/11/2023 17,08),,,
2024-02-02:,12:30:00,13:30:00,Numérisation2,Cours,A5-A5bis,1A,COURSIMAULT DAVID,,(Updated,08/01/2024 18,19),,,
2023-12-21:,12:30:00,14:30:00,PPP1,TDB,B7,1ATDB,GIRAUD NADINE,,(Updated,09/11/2023 17,15),,,
2023-10-16:,11:30:00,12:30:00,SAE11,TP4,B7,1ATP4,GIRAUD NADINE,,(Updated,05/10/2023 18,47),,,
2023-11-17:,15:00:00,16:00:00,Soutien Télécoms,,,1ATDC,,(Updated,15/11/2023 16,13),,,,
2023-09-21:,13:30:00,15:30:00,Prog1,TP5,B1bis,1ATP5,SIGURET ARNAUD,,(Updated,12/09/2023 16,48),,,
2023-11-23:,09:00:00,11:00:00,Math-Trans1,TDA,A6,1ATDA,COURSIMAULT DAVID,,(Updated,14/11/2023 14,29),,,
2023-10-05:,06:00:00,08:00:00,Syst1,TP3,C5,1ATP3,JACQUET FREDERIQUE,,(Updated,29/09/2023 18,17),,,
2023-12-07:,14:30:00,16:30:00,Com1,TP3,B7,1ATP3,GIRAUD NADINE,,(Updated,09/11/2023 16,01),,,
2023-09-25:,13:30:00,15:30:00,SAE11,TDA-PT,"A5,B6",1ATDA,,(Updated,24/09/2023 18,32),,,,
2024-01-16:,07:00:00,09:00:00,SAE15,TP2,C5,1ATP2,HAYEK FREDERIC,,(Updated,27/11/2023 16,20),,,
2023-10-11:,08:00:00,10:00:00,Syst1,TDC,C5,1ATDC,JACQUET FREDERIQUE,,(Updated,25/09/2023 17,09),,,
2023-10-18:,11:30:00,13:30:00,SAE12,TDB,B3,1ATDB,FREITAS ANTONIO,,(Updated,05/10/2023 18,48),,,
2023-10-27:,09:00:00,10:00:00,SAE11,TP5,B8,1ATP5,JACQUET FREDERIQUE,,(Updated,10/10/2023 13,16),,,
2023-12-12:,12:30:00,14:30:00,Anglais1,TP5,Labo multimédia A105,1ATP5,GORDON NATHALIE,,(Updated,13/12/2023 11,14),,,
2023-11-10:,07:00:00,10:00:00,Init-Rés1,TP3,C1bis,1ATP3,DELOS HUGO,,(Updated,20/11/2023 10,24),,,
2023-12-08:,07:00:00,09:00:00,SAE13,TDC-PT,"B3,A5bis",1ATDC,,(Updated,30/11/2023 17,11),,,,
2023-12-12:,12:30:00,14:30:00,RLAN1,TDB,C1bis,1ATDB,FREITAS ANTONIO,,(Updated,09/11/2023 16,18),,,
2023-11-23:,12:30:00,14:30:00,SAE12,TDB,B3,1ATDB,FREITAS ANTONIO,,(Updated,31/10/2023 19,20),,,
2023-10-05:,06:00:00,08:00:00,Math-Signal1,TDA,A6,1ATDA,MATAR HOUSSEIN,,(Updated,25/09/2023 11,14),,,
2023-11-20:,15:00:00,18:00:00,Init-Rés1 Exam,TP4,C1bis,1ATP4,FREITAS ANTONIO,,(Updated,14/11/2023 10,29),,,
2023-11-27:,09:00:00,11:00:00,Math-Trans1,TDC,A8,1ATDC,BOUAYED AYMENE,,(Updated,09/11/2023 12,33),,,
2023-10-11:,11:30:00,13:30:00,Web1,TDA,B3,1ATDA,ZAYENE MARIEM,,(Updated,05/10/2023 17,41),,,
2023-10-12:,08:00:00,10:00:00,Init-Rés1,TDC,B8,1ATDC,FREITAS ANTONIO,,(Updated,03/10/2023 17,47),,,
2023-10-03:,08:00:00,10:00:00,SAE12,TP2,C1bis,1ATP2,ZAYENE MARIEM,,(Updated,25/09/2023 17,19),,,
2023-10-11:,13:30:00,15:30:00,Math-Signal1,TDC,A5,1ATDC,BOUAYED AYMENE,,(Updated,10/10/2023 11,17),,,
2023-11-16:,09:00:00,11:00:00,Prog1,TP3,B1bis,1ATP3,ZAYENE MARIEM,,(Updated,16/10/2023 18,44),,,
2023-10-26:,06:00:00,08:00:00,Syst1,TP4,B8,1ATP4,WEZL MICHAEL,,(Updated,10/10/2023 18,35),,,
2023-10-20:,08:00:00,10:00:00,SAE12,TDA,B8,1ATDA,HERNANDEZ SEBASTIEN,,(Updated,05/10/2023 18,46),,,
2024-01-10:,15:00:00,17:00:00,SAE15,TDB-PT,"C1bis,B4",1ATDB,,(Updated,19/12/2023 15,39),,,,
2023-12-22:,07:00:00,09:00:00,Math-Trans1,TDB,A6,1ATDB,BENGANA FAYCAL,,(Updated,25/10/2023 11,50),,,
2023-09-21:,08:00:00,10:00:00,Com1,TDB,B7,1ATDB,GIRAUD NADINE,,(Updated,07/07/2023 13,38),,,
2023-09-14:,09:00:00,10:00:00,Soutenances LPro,,B7,1ATP1,,(Updated,10/07/2023 13,02),,,,
